Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index,mobile_uses
9,46,No,6,3,41,2
5,73,No,7,8,61,2
9,71,No,5,7,69,2
3,88,Yes,8,3,68,2
4,52,No,9,5,38,3
9,69,Yes,4,6,67,2
6,64,No,7,9,54,2
2,60,Yes,4,7,39,3
7,99,No,7,3,93,0
2,98,No,8,0,76,1
2,60,Yes,9,4,39,3
1,67,Yes,8,0,38,3
3,87,Yes,8,3,69,2
6,97,Yes,7,6,88,1
8,59,No,6,6,54,2
9,73,No,9,0,68,2
7,44,No,4,8,33,3
4,57,No,6,1,40,2
6,99,No,6,4,87,1
5,78,Yes,5,5,64,2
8,82,Yes,4,0,70,1
1,96,No,7,1,70,1
1,96,Yes,5,6,72,1
6,50,No,5,5,38,3
2,93,No,8,5,71,1
5,56,Yes,7,5,40,2
1,87,No,6,6,58,2
7,84,Yes,9,9,77,1
1,61,No,6,8,38,3
4,76,Yes,6,8,60,2
9,59,No,8,1,57,2
1,87,No,6,1,63,2
4,99,Yes,4,4,82,1
6,93,No,6,9,84,1
6,93,No,6,6,84,1
8,87,Yes,4,2,77,1
1,87,Yes,8,2,61,2
7,85,Yes,5,3,73,1
1,45,No,7,2,15,3
7,73,Yes,8,2,64,2
3,53,Yes,6,7,33,3
8,87,Yes,5,6,78,1
3,62,No,7,6,43,2
1,59,Yes,7,9,34,3
8,52,No,7,1,48,2
3,86,No,4,8,66,2
2,83,Yes,4,5,60,2
1,80,No,5,2,53,2
3,71,No,6,8,51,2
2,65,No,5,8,43,2
2,89,No,6,5,68,2
6,92,No,8,9,80,1
1,53,Yes,7,5,26,3
2,91,Yes,7,7,70,1
6,96,Yes,4,7,85,1
3,75,No,8,5,57,2
4,47,Yes,9,6,30,3
1,79,No,8,3,56,2
8,61,No,6,0,53,2
7,61,No,8,3,52,2
7,55,No,4,7,47,2
3,66,Yes,6,7,48,2
3,95,No,5,1,78,1
2,99,Yes,6,6,79,1
1,99,Yes,5,0,75,1
7,49,No,9,1,40,2
7,64,Yes,6,7,59,2
2,70,Yes,7,9,49,2
7,60,Yes,9,3,48,2
8,66,No,5,2,60,2
1,56,No,4,1,29,3
9,72,No,9,5,68,2
7,70,Yes,9,3,63,2
3,89,Yes,9,2,71,1
8,81,No,5,2,76,1
7,65,No,5,9,57,2
8,60,Yes,6,2,54,2
6,75,No,7,7,61,2
9,40,No,9,8,34,3
5,43,Yes,6,8,32,3
3,43,Yes,6,4,23,3
3,65,No,7,0,44,2
1,43,No,6,9,18,3
8,88,No,7,4,82,1
2,48,No,4,0,18,3
3,69,Yes,7,8,52,2
8,90,No,8,9,88,1
8,84,No,7,7,78,1
4,43,Yes,7,6,26,3
4,44,Yes,8,1,26,3
5,84,Yes,7,1,74,1
6,62,Yes,5,3,52,2
5,55,Yes,6,8,40,2
7,61,Yes,6,8,54,2
2,76,Yes,4,7,51,2
7,47,No,4,4,35,3
7,87,No,8,6,79,1
1,72,Yes,5,8,45,2
7,94,No,4,2,81,1
5,99,No,6,3,87,1
3,77,Yes,4,1,56,2
3,82,Yes,4,8,65,2
4,55,Yes,7,6,38,3
2,44,Yes,4,5,17,3
2,55,Yes,8,4,35,3
1,46,No,6,6,20,3
5,90,No,8,2,75,1
4,40,Yes,8,4,26,3
2,48,Yes,9,1,23,3
3,57,No,5,4,38,3
7,84,No,9,6,78,1
7,97,No,9,9,91,0
4,86,Yes,7,6,67,2
5,42,Yes,8,8,31,3
5,63,No,5,2,49,2
6,67,Yes,6,7,57,2
9,49,No,6,4,45,2
2,48,Yes,5,6,22,3
5,52,Yes,8,0,35,3
3,87,No,8,0,65,2
4,74,No,7,3,53,2
6,93,Yes,7,4,79,1
8,62,No,9,9,57,2
1,86,Yes,6,2,58,2
8,56,No,7,5,50,2
7,85,No,5,2,75,1
1,46,Yes,6,4,17,3
2,91,Yes,8,0,70,1
3,55,Yes,6,2,36,3
1,92,No,4,6,61,2
9,79,No,6,2,78,1
8,75,Yes,7,4,71,1
2,59,No,5,6,36,3
9,63,Yes,8,1,63,2
7,86,Yes,8,2,78,1
9,44,Yes,7,3,39,3
6,84,Yes,7,4,70,1
6,45,Yes,7,8,34,3
4,67,No,4,8,49,2
2,98,No,5,3,71,1
7,44,Yes,4,8,34,3
5,88,No,7,3,77,1
6,78,Yes,5,1,67,2
2,77,No,7,9,52,2
5,41,No,5,0,25,3
4,82,Yes,8,6,68,2
9,78,No,4,3,76,1
6,93,Yes,9,7,85,1
2,60,No,7,7,40,2
1,79,Yes,7,7,56,2
5,76,Yes,6,5,62,2
9,98,Yes,9,8,99,0
6,57,Yes,8,3,46,2
7,93,Yes,7,4,86,1
5,87,Yes,4,3,73,1
6,85,No,8,4,74,1
5,51,Yes,7,1,37,3
9,56,No,4,4,50,2
6,76,Yes,6,9,65,2
8,85,No,6,7,79,1
2,77,Yes,4,8,53,2
9,54,Yes,8,6,55,2
5,46,No,4,6,31,3
7,53,Yes,9,5,47,2
1,89,Yes,4,1,63,2
5,40,Yes,6,9,27,3
2,77,Yes,6,9,53,2
6,42,No,6,8,33,3
1,76,Yes,9,4,56,2
3,83,No,7,5,65,2
5,70,Yes,9,0,55,2
4,82,Yes,7,4,67,2
3,52,Yes,9,5,32,3
5,87,Yes,5,9,73,1
8,57,No,7,1,45,2
4,56,Yes,8,6,43,2
1,56,Yes,8,3,32,3
7,50,Yes,6,4,42,2
8,59,No,9,2,55,2
3,49,No,4,4,28,3
6,68,No,6,3,58,2
2,87,No,4,9,67,2
7,73,Yes,9,5,66,2
8,56,Yes,6,1,46,2
6,93,No,6,2,79,1
6,91,Yes,8,9,83,1
5,81,Yes,4,0,63,2
8,52,No,5,6,45,2
1,83,Yes,5,8,63,2
4,86,No,6,1,70,1
4,78,No,9,6,58,2
3,66,No,6,2,50,2
3,93,No,8,4,77,1
4,92,No,4,5,75,1
1,65,No,6,7,40,2
2,67,Yes,9,3,43,2
9,52,Yes,5,1,47,2
2,51,Yes,4,2,22,3
5,83,No,6,7,71,1
9,67,No,4,6,63,2
9,41,No,8,5,37,3
8,76,Yes,5,4,72,1
1,96,Yes,9,4,73,1
1,96,No,4,0,72,1
9,73,No,5,5,68,2
8,62,No,6,8,59,2
9,97,No,9,7,97,0
7,91,No,9,9,83,1
3,84,Yes,7,0,65,2
3,68,No,4,5,47,2
2,74,No,5,2,51,2
5,50,No,4,5,32,3
3,87,No,6,8,63,2
6,72,Yes,6,5,60,2
2,90,No,9,7,70,1
3,50,No,9,5,32,3
5,48,No,5,5,32,3
1,53,Yes,8,6,29,3
1,48,No,4,9,21,3
9,78,Yes,4,3,74,1
7,87,No,6,7,81,1
1,42,No,4,3,11,3
8,68,No,5,6,65,2
3,58,No,7,0,37,3
8,75,No,9,8,75,1
5,71,No,6,9,61,2
1,46,No,9,8,17,3
7,94,No,9,6,87,1
5,67,No,9,7,52,2
6,83,Yes,7,1,71,1
6,57,Yes,4,9,46,2
8,99,Yes,8,9,99,0
9,44,Yes,9,6,40,2
2,62,No,5,0,42,2
9,94,No,9,2,91,0
9,61,Yes,9,5,57,2
7,65,Yes,4,4,58,2
1,81,Yes,5,4,55,2
7,51,Yes,4,8,46,2
5,79,No,9,5,64,2
6,58,Yes,4,2,45,2
7,86,No,4,1,78,1
5,40,No,6,8,24,3
7,42,No,7,9,36,3
9,66,Yes,8,3,65,2
3,57,Yes,7,4,35,3
8,89,No,7,8,87,1
2,69,Yes,5,4,45,2
7,41,Yes,6,6,35,3
2,44,No,6,1,18,3
4,68,No,4,1,46,2
7,72,Yes,7,3,63,2
3,81,No,8,7,62,2
2,59,Yes,5,1,35,3
7,69,Yes,6,9,63,2
1,81,No,4,6,58,2
8,44,No,8,0,37,3
3,89,Yes,7,8,74,1
2,60,No,8,9,40,2
3,97,Yes,6,5,78,1
5,54,No,5,0,38,3
8,59,Yes,7,9,55,2
7,47,No,5,5,39,3
7,88,Yes,9,4,84,1
7,70,Yes,8,4,60,2
8,51,No,8,4,47,2
1,60,Yes,4,3,34,3
4,69,Yes,7,6,54,2
6,66,Yes,8,8,56,2
9,83,Yes,6,3,82,1
2,65,Yes,9,1,45,2
1,72,No,6,1,45,2
2,65,Yes,5,1,43,2
7,65,Yes,9,6,57,2
3,75,Yes,9,3,56,2
2,79,No,6,3,56,2
7,40,No,8,0,30,3
2,98,Yes,6,3,75,1
3,54,Yes,7,5,33,3
7,89,No,5,1,80,1
4,40,No,9,3,27,3
1,50,Yes,7,6,26,3
5,94,No,8,8,81,1
9,41,Yes,8,1,41,2
8,40,Yes,6,7,34,3
9,70,Yes,4,5,68,2
9,83,No,9,7,83,1
7,55,Yes,9,1,44,2
4,93,Yes,4,0,75,1
5,61,No,8,6,52,2
1,81,Yes,8,8,56,2
1,57,Yes,9,8,37,3
3,86,Yes,5,1,67,2
8,56,No,9,3,50,2
2,69,No,8,0,46,2
4,49,Yes,8,6,31,3
2,74,No,5,1,51,2
5,97,Yes,7,3,82,1
9,60,Yes,7,1,58,2
1,55,No,5,0,31,3
5,45,No,5,6,29,3
9,42,Yes,7,5,40,2
1,80,No,7,1,51,2
9,82,No,7,3,79,1
8,60,No,7,2,52,2
4,52,Yes,9,2,36,3
5,57,Yes,9,2,43,2
5,97,No,6,3,81,1
6,93,Yes,5,0,81,1
7,99,Yes,4,0,84,1
8,63,No,6,6,55,2
8,66,Yes,4,4,64,2
2,93,No,4,2,68,2
9,43,Yes,8,8,41,2
7,61,Yes,5,4,53,2
4,63,No,9,9,50,2
4,79,Yes,6,2,65,2
8,84,No,5,8,78,1
4,49,Yes,7,0,31,3
6,41,Yes,5,8,30,3
5,79,Yes,4,4,64,2
3,45,No,9,5,26,3
2,87,Yes,7,1,66,2
9,57,Yes,5,7,55,2
9,56,No,5,2,52,2
1,77,No,9,0,57,2
3,84,Yes,4,6,68,2
8,62,No,7,2,57,2
6,85,No,4,3,75,1
5,69,No,9,4,54,2
5,97,No,5,0,82,1
6,60,Yes,6,8,51,2
7,49,No,6,6,43,2
1,95,Yes,8,1,68,2
9,82,Yes,6,0,77,1
3,52,Yes,9,1,33,3
4,51,No,9,2,37,3
1,48,No,9,2,23,3
3,43,Yes,7,7,26,3
2,78,Yes,8,4,56,2
2,63,No,7,8,42,2
1,93,No,6,2,65,2
8,73,Yes,6,5,66,2
3,78,No,5,3,57,2
3,80,No,7,7,59,2
6,44,Yes,4,0,28,3
8,54,No,5,3,46,2
9,89,No,7,6,84,1
9,43,Yes,9,8,42,2
4,90,No,8,0,73,1
5,91,Yes,7,7,77,1
2,97,No,8,1,74,1
9,78,Yes,8,3,75,1
8,97,No,6,3,94,0
3,47,Yes,4,7,27,3
9,88,No,7,1,89,1
3,84,No,4,6,62,2
9,63,No,8,2,59,2
2,92,Yes,6,8,73,1
9,67,No,4,4,57,2
8,94,Yes,5,7,90,0
9,82,No,8,4,80,1
5,66,No,5,0,50,2
2,40,No,9,8,18,3
8,73,No,4,9,68,2
6,56,No,4,6,39,3
8,76,No,4,3,67,2
5,77,Yes,9,6,69,2
2,65,Yes,7,4,43,2
6,96,No,8,9,84,1
5,63,No,8,8,50,2
5,78,No,8,1,65,2
1,99,No,7,3,74,1
2,60,No,4,5,35,3
8,69,Yes,4,4,61,2
3,86,No,9,0,64,2
3,90,No,5,8,66,2
8,87,Yes,7,8,81,1
8,96,Yes,6,2,93,0
2,52,Yes,7,3,28,3
8,76,No,9,3,71,1
1,42,No,5,9,13,3
6,71,No,5,7,59,2
8,74,No,5,5,67,2
3,58,No,4,1,35,3
8,53,Yes,6,3,46,2
1,87,No,5,0,59,2
9,61,No,8,2,57,2
9,56,No,4,3,51,2
5,98,Yes,6,7,80,1
4,43,No,8,2,22,3
6,84,No,6,4,71,1
7,79,No,9,0,73,1
5,58,No,6,3,40,2
9,76,Yes,8,1,75,1
3,41,Yes,7,3,24,3
7,54,Yes,6,4,45,2
5,41,No,7,2,25,3
7,50,Yes,6,5,42,2
2,84,Yes,9,1,63,2
4,62,No,8,4,44,2
2,49,No,6,3,26,3
7,42,Yes,5,4,31,3
2,44,Yes,9,8,26,3
1,42,Yes,5,5,15,3
9,77,Yes,9,6,77,1
1,52,No,9,7,31,3
8,81,No,6,8,75,1
2,58,Yes,8,4,34,3
8,79,Yes,8,7,74,1
3,89,Yes,4,1,68,2
6,74,No,8,9,64,2
3,63,No,7,8,43,2
7,63,No,6,1,54,2
9,56,Yes,5,4,53,2
2,79,No,8,5,56,2
5,49,Yes,5,3,34,3
6,41,Yes,4,7,27,3
4,83,No,6,9,66,2
4,62,Yes,8,2,41,2
4,45,No,5,4,25,3
2,41,No,9,1,20,3
4,60,Yes,8,2,45,2
1,94,Yes,4,7,70,1
6,95,No,9,4,86,1
1,74,No,5,2,46,2
6,88,No,5,4,73,1
1,68,No,6,8,42,2
6,46,No,6,2,27,3
8,68,No,5,9,64,2
2,92,No,9,6,71,1
2,76,Yes,6,7,56,2
4,62,No,5,4,43,2
3,72,Yes,9,2,50,2
4,47,Yes,7,5,31,3
7,51,No,8,2,42,2
1,85,No,7,8,60,2
6,87,No,7,1,76,1
3,49,No,8,2,28,3
7,54,No,5,6,45,2
2,92,Yes,5,9,71,1
2,63,Yes,6,7,44,2
4,65,No,4,4,48,2
1,86,No,5,4,57,2
3,81,No,8,4,61,2
9,92,No,4,3,86,1
7,99,Yes,8,8,95,0
7,78,Yes,8,5,70,1
4,97,Yes,8,7,81,1
2,42,No,4,7,18,3
4,41,No,7,4,24,3
6,45,No,9,8,32,3
3,60,Yes,8,1,40,2
1,48,Yes,6,7,25,3
8,49,Yes,5,2,41,2
5,75,No,9,6,66,2
5,98,Yes,5,8,83,1
4,42,No,5,4,22,3
6,80,Yes,4,7,70,1
3,63,No,6,3,42,2
9,61,No,6,0,56,2
5,88,No,9,0,72,1
3,53,No,6,5,31,3
1,81,Yes,6,7,60,2
6,84,Yes,6,9,74,1
2,83,Yes,9,1,62,2
3,66,No,7,3,44,2
1,72,Yes,6,2,46,2
9,99,No,6,8,96,0
8,61,Yes,4,2,51,2
2,68,Yes,4,7,43,2
8,58,No,6,6,51,2
9,58,No,7,0,58,2
1,45,No,6,7,23,3
5,84,Yes,6,8,67,2
8,58,No,6,7,50,2
2,52,Yes,8,9,31,3
4,98,Yes,7,9,83,1
7,65,Yes,5,0,55,2
3,61,No,6,6,44,2
5,60,Yes,5,8,45,2
8,75,No,7,4,73,1
3,95,No,6,1,76,1
4,41,Yes,5,7,23,3
9,86,Yes,9,8,84,1
7,83,Yes,5,6,73,1
1,69,Yes,7,4,48,2
4,66,No,6,7,50,2
4,46,No,8,5,30,3
9,59,No,7,3,51,2
6,89,No,8,0,76,1
9,70,No,6,5,66,2
6,62,No,5,7,50,2
6,52,No,9,2,40,2
5,56,No,9,6,42,2
5,43,No,7,6,29,3
2,96,Yes,7,8,77,1
8,53,Yes,7,0,45,2
8,59,No,4,4,49,2
1,99,No,9,7,74,1
8,52,Yes,9,2,45,2
5,42,Yes,6,4,27,3
2,65,Yes,4,0,44,2
2,65,No,7,8,42,2
6,57,Yes,7,3,43,2
9,71,Yes,8,4,68,2
1,53,Yes,4,2,29,3
6,86,Yes,5,1,73,1
9,42,Yes,9,6,39,3
8,40,No,6,4,30,3
6,65,Yes,5,9,53,2
3,63,No,5,2,38,3
8,88,Yes,6,1,82,1
9,74,Yes,7,9,72,1
1,53,Yes,9,5,24,3
9,42,Yes,8,9,44,2
6,52,Yes,7,5,45,2
6,86,No,7,2,75,1
4,89,No,4,8,75,1
1,53,No,5,0,26,3
8,60,No,5,2,49,2
2,65,No,9,0,42,2
1,42,No,5,6,14,3
2,90,No,8,1,64,2
1,79,Yes,8,3,54,2
1,43,No,8,3,16,3
9,75,Yes,6,7,73,1
1,90,Yes,9,3,67,2
4,82,No,8,2,69,2
6,40,Yes,4,9,28,3
7,79,Yes,4,2,67,2
2,86,No,7,4,62,2
6,72,Yes,7,5,60,2
7,46,No,9,6,43,2
2,92,Yes,7,4,70,1
2,91,No,7,6,70,1
7,91,Yes,4,3,84,1
1,95,No,7,4,72,1
8,50,Yes,4,5,44,2
3,66,No,8,8,46,2
6,53,Yes,8,5,41,2
9,61,Yes,9,9,58,2
6,55,No,6,0,44,2
9,85,Yes,7,6,89,1
7,51,No,8,2,45,2
9,88,Yes,8,5,87,1
2,85,Yes,9,1,61,2
8,49,No,5,6,41,2
8,63,Yes,5,0,57,2
2,85,No,9,1,62,2
4,57,Yes,4,8,39,3
7,61,Yes,6,8,54,2
4,48,Yes,9,6,33,3
4,56,Yes,5,1,42,2
6,77,No,6,4,70,1
6,79,No,8,3,67,2
3,97,Yes,9,1,80,1
9,52,Yes,4,1,44,2
2,89,No,6,9,69,2
6,76,Yes,5,7,66,2
7,45,No,8,4,35,3
9,60,Yes,9,7,61,2
3,90,Yes,7,1,68,2
3,75,No,8,1,55,2
7,46,Yes,5,2,36,3
4,75,No,9,9,56,2
8,64,No,5,7,58,2
7,50,No,7,7,40,2
5,83,No,8,2,68,2
7,53,No,6,0,43,2
3,84,No,6,6,61,2
2,68,Yes,8,3,45,2
6,49,No,6,2,36,3
2,89,No,9,4,67,2
3,87,Yes,8,5,67,2
6,44,No,8,0,29,3
5,47,Yes,5,8,31,3
8,85,No,4,5,74,1
9,44,No,5,2,37,3
3,97,No,6,0,79,1
3,99,Yes,4,8,76,1
3,63,Yes,8,1,45,2
6,79,No,6,9,65,2
1,96,No,7,5,72,1
7,65,Yes,6,5,62,2
1,45,Yes,4,2,19,3
5,55,Yes,4,5,39,3
8,99,No,8,1,93,0
4,75,Yes,9,7,62,2
5,51,Yes,7,0,37,3
4,50,Yes,8,5,34,3
4,42,Yes,7,0,23,3
8,83,Yes,7,8,79,1
2,76,Yes,8,8,51,2
1,45,Yes,6,5,18,3
3,58,No,5,5,41,2
9,57,Yes,7,8,57,2
4,55,No,4,4,36,3
5,62,No,8,8,47,2
2,82,Yes,9,4,65,2
4,76,No,6,3,57,2
2,48,No,7,1,22,3
2,42,Yes,9,1,20,3
4,47,No,6,0,27,3
6,77,Yes,8,9,64,2
7,43,Yes,9,2,32,3
3,51,Yes,4,0,29,3
3,83,Yes,7,5,62,2
6,70,Yes,7,6,56,2
3,64,Yes,9,8,43,2
2,92,Yes,6,6,70,1
8,55,No,8,3,49,2
5,81,Yes,5,3,68,2
1,93,No,7,7,66,2
3,53,Yes,4,3,31,3
8,52,Yes,7,0,44,2
4,80,Yes,7,8,65,2
7,46,No,5,2,36,3
2,51,No,5,0,27,3
7,76,No,8,8,71,1
5,89,No,7,9,76,1
5,43,No,7,9,31,3
6,41,No,6,4,26,3
9,74,Yes,6,8,69,2
6,97,Yes,9,2,90,0
8,83,No,9,5,79,1
7,42,No,4,6,33,3
9,43,No,4,4,40,2
4,77,No,6,7,58,2
2,51,No,9,9,28,3
7,58,Yes,4,5,50,2
6,49,Yes,7,5,37,3
1,40,Yes,9,6,15,3
9,56,Yes,5,7,50,2
9,55,Yes,9,1,55,2
2,48,Yes,7,6,25,3
3,96,Yes,6,8,79,1
5,92,Yes,8,0,79,1
5,48,No,8,0,36,3
1,98,No,6,6,69,2
8,94,Yes,7,4,83,1
8,48,Yes,4,0,44,2
4,51,Yes,9,0,36,3
7,94,No,9,1,84,1
3,80,No,4,9,58,2
6,54,Yes,8,8,44,2
9,41,No,6,2,36,3
1,50,Yes,6,8,23,3
5,50,Yes,5,5,33,3
4,47,Yes,8,9,31,3
8,94,Yes,6,5,90,0
1,71,Yes,5,6,45,2
9,45,No,4,9,40,2
6,92,Yes,8,7,81,1
4,59,Yes,8,2,47,2
9,78,Yes,6,7,75,1
5,74,Yes,6,5,61,2
5,47,No,7,5,37,3
5,89,Yes,4,2,75,1
1,88,Yes,4,5,63,2
1,82,No,9,7,61,2
8,73,Yes,5,6,70,1
8,96,Yes,5,9,91,0
6,92,Yes,7,9,80,1
4,98,Yes,9,6,83,1
2,95,No,4,2,72,1
2,58,Yes,5,9,35,3
9,46,Yes,4,2,41,2
5,70,No,4,4,57,2
4,57,Yes,9,4,43,2
1,79,Yes,5,8,55,2
7,53,No,6,8,42,2
3,78,Yes,6,9,59,2
6,99,No,9,4,90,0
5,92,Yes,5,4,79,1
5,99,No,7,5,89,1
5,98,Yes,8,7,87,1
1,75,Yes,9,5,50,2
1,56,No,4,5,33,3
3,76,Yes,9,8,58,2
4,83,No,8,0,68,2
5,48,No,9,3,33,3
2,97,No,5,9,73,1
8,59,No,4,9,50,2
2,84,Yes,8,1,59,2
9,96,No,6,8,93,0
2,67,Yes,7,2,47,2
9,89,Yes,9,9,89,1
7,59,No,9,1,47,2
8,80,No,8,7,77,1
2,75,Yes,7,3,53,2
7,92,No,9,1,87,1
6,66,Yes,6,3,53,2
4,47,No,8,6,28,3
7,71,Yes,5,6,66,2
4,40,Yes,4,0,23,3
2,56,No,6,0,28,3
7,96,Yes,7,2,89,1
8,48,Yes,7,1,38,3
2,59,No,6,2,37,3
5,84,No,5,3,66,2
1,71,No,9,6,44,2
7,41,No,5,1,33,3
8,71,No,9,6,67,2
6,84,Yes,9,4,76,1
5,48,Yes,7,7,33,3
6,69,No,9,7,59,2
2,59,Yes,6,4,39,3
1,77,Yes,9,9,55,2
7,99,Yes,6,7,96,0
7,40,Yes,4,8,30,3
2,99,Yes,7,6,80,1
2,96,No,5,5,75,1
1,44,No,8,6,19,3
8,74,Yes,5,6,71,1
8,75,Yes,5,2,67,2
1,40,No,8,5,16,3
8,53,No,7,5,45,2
9,48,No,9,8,44,2
4,69,No,4,0,50,2
1,63,Yes,5,6,37,3
1,43,No,9,0,15,3
3,89,No,5,9,71,1
5,53,Yes,7,3,42,2
5,64,No,7,6,49,2
9,43,No,6,5,41,2
2,64,No,7,5,40,2
2,49,No,7,4,25,3
6,74,No,5,6,62,2
9,94,Yes,4,8,93,0
1,46,Yes,5,5,19,3
9,81,Yes,9,9,77,1
9,52,Yes,7,6,52,2
9,43,Yes,6,8,41,2
5,89,No,4,6,69,2
9,82,No,6,5,82,1
4,96,No,8,2,82,1
2,75,No,6,0,49,2
6,95,No,6,9,82,1
4,53,No,9,8,40,2
6,57,No,7,6,48,2
3,47,No,9,2,28,3
6,71,No,7,9,60,2
2,66,No,9,8,43,2
2,81,No,7,2,59,2
9,76,No,7,2,71,1
7,62,No,7,6,52,2
3,46,Yes,6,1,27,3
1,51,No,8,9,28,3
8,64,Yes,7,6,62,2
6,42,No,8,6,27,3
7,65,No,8,0,55,2
9,43,No,5,9,39,3
5,81,Yes,5,1,66,2
1,75,Yes,4,4,46,2
7,54,No,9,3,47,2
5,71,No,5,2,59,2
3,68,No,7,9,46,2
9,49,No,8,7,47,2
1,60,Yes,9,6,39,3
1,93,Yes,4,8,67,2
1,55,No,5,2,26,3
3,86,Yes,6,9,68,2
6,58,Yes,9,0,49,2
3,68,No,4,8,45,2
8,91,No,7,8,88,1
2,90,No,9,0,67,2
9,57,Yes,8,7,54,2
3,97,No,7,9,75,1
5,83,Yes,7,0,67,2
8,96,No,9,5,91,0
2,55,No,6,8,30,3
6,40,Yes,6,2,29,3
5,87,Yes,9,5,75,1
9,41,Yes,9,2,41,2
5,95,Yes,9,4,84,1
2,54,Yes,8,6,31,3
5,78,Yes,5,9,64,2
4,67,No,7,3,48,2
7,40,Yes,9,3,29,3
6,44,Yes,5,6,33,3
2,81,No,8,4,59,2
5,61,Yes,7,0,45,2
7,92,Yes,5,9,86,1
7,75,No,7,1,65,2
5,85,No,6,5,73,1
9,52,No,9,8,50,2
4,40,Yes,6,6,20,3
3,55,No,4,3,36,3
4,94,Yes,8,1,78,1
5,80,No,9,3,65,2
6,61,Yes,5,4,48,2
3,71,No,7,1,49,2
2,55,No,4,0,32,3
4,90,No,8,3,69,2
5,54,Yes,8,5,41,2
4,97,Yes,8,0,77,1
3,85,No,5,0,60,2
8,91,No,9,8,88,1
4,81,No,6,4,61,2
2,92,No,4,1,69,2
2,51,Yes,5,1,29,3
1,99,No,7,3,73,1
4,40,No,5,1,22,3
9,92,Yes,7,3,93,0
7,56,Yes,7,5,46,2
7,80,No,8,6,74,1
7,94,No,5,5,83,1
8,90,Yes,6,3,84,1
1,96,Yes,7,9,71,1
8,89,No,8,2,82,1
4,67,Yes,6,3,49,2
4,46,Yes,5,4,27,3
4,48,No,6,3,29,3
6,61,No,5,2,50,2
7,65,Yes,7,0,53,2
6,92,No,4,2,80,1
1,51,No,4,4,21,3
8,46,No,9,5,39,3
7,85,No,9,3,74,1
6,86,No,7,0,76,1
6,54,Yes,6,9,43,2
5,77,Yes,5,6,61,2
6,60,No,4,8,48,2
9,53,No,5,5,48,2
9,41,No,7,5,40,2
8,47,Yes,6,8,40,2
9,84,Yes,5,3,80,1
8,94,Yes,6,4,90,0
8,45,Yes,4,4,36,3
1,76,No,5,4,48,2
5,76,No,8,7,60,2
4,96,Yes,4,0,76,1
2,72,Yes,6,9,47,2
8,80,No,7,9,73,1
3,45,No,8,2,22,3
4,91,No,9,7,74,1
7,65,No,5,8,58,2
9,78,No,9,1,76,1
2,80,Yes,4,3,59,2
3,76,No,5,7,55,2
4,53,Yes,5,4,33,3
1,76,Yes,8,0,50,2
7,47,No,8,5,37,3
2,78,Yes,8,8,58,2
5,52,Yes,8,8,36,3
1,52,No,7,0,25,3
3,79,Yes,6,3,62,2
2,82,No,8,0,57,2
1,67,No,4,6,39,3
7,97,Yes,5,2,84,1
5,57,No,9,1,45,2
1,96,No,8,7,72,1
6,58,Yes,4,8,45,2
5,77,No,7,6,63,2
3,71,Yes,4,5,50,2
7,61,Yes,9,9,53,2
9,41,No,9,5,36,3
9,99,Yes,4,8,97,0
9,52,No,7,4,49,2
2,62,Yes,9,4,40,2
3,64,No,7,1,43,2
7,67,No,5,5,60,2
5,97,Yes,8,5,85,1
2,50,Yes,9,5,26,3
3,72,No,4,3,53,2
6,63,No,6,6,53,2
7,41,Yes,6,8,34,3
9,69,No,5,0,63,2
1,56,No,6,2,31,3
7,79,Yes,5,9,71,1
8,73,Yes,8,8,67,2
3,77,No,5,4,57,2
4,61,Yes,7,5,46,2
6,44,Yes,7,7,34,3
7,87,No,7,8,76,1
4,79,Yes,9,7,65,2
8,90,Yes,7,2,84,1
5,55,No,7,9,38,3
1,52,Yes,7,0,27,3
4,65,No,7,4,49,2
3,70,Yes,9,6,52,2
9,91,Yes,7,1,86,1
8,78,No,7,0,74,1
1,87,Yes,8,3,64,2
6,62,Yes,9,2,53,2
9,87,Yes,7,3,87,1
7,51,Yes,5,0,43,2
4,53,Yes,8,1,37,3
1,95,Yes,9,0,68,2
2,57,No,6,2,32,3
5,66,Yes,4,3,49,2
5,67,Yes,9,0,56,2
8,57,No,8,5,52,2
6,55,No,7,1,41,2
8,91,No,8,9,87,1
2,55,Yes,4,4,34,3
3,52,No,4,7,32,3
6,97,No,9,3,89,1
3,68,Yes,7,4,46,2
6,48,No,7,8,36,3
6,65,Yes,5,1,51,2
2,67,Yes,4,1,46,2
7,80,Yes,7,5,72,1
2,52,Yes,4,5,27,3
6,75,Yes,5,2,59,2
1,48,No,6,8,25,3
3,86,Yes,4,0,67,2
2,53,No,5,2,24,3
7,90,Yes,5,7,82,1
4,51,No,5,7,35,3
8,92,Yes,8,3,88,1
6,97,Yes,9,7,87,1
4,96,Yes,7,9,79,1
5,71,No,4,7,58,2
9,77,No,9,0,76,1
7,42,No,8,2,34,3
9,97,Yes,4,0,95,0
7,96,Yes,9,1,93,0
1,93,No,8,3,67,2
8,91,Yes,7,2,85,1
4,55,No,5,5,36,3
3,59,Yes,9,4,38,3
7,71,No,9,4,66,2
3,95,No,4,9,78,1
8,62,Yes,5,6,58,2
6,56,No,7,6,48,2
5,55,Yes,4,8,41,2
4,77,Yes,6,7,61,2
8,47,Yes,6,2,42,2
